tidspunkt,temperatur,trykk,fuktighet,pm25,pm10
2022-11-24 09:47:08.910265,30.03691469683128,999.0573931537714,10.510198002643977,0,0
2022-11-24 09:49:36.602513,30.154708062636594,999.1216388438294,10.506322094419247,0,0
2022-11-24 09:50:09.458867,30.37660530128969,999.0866162122245,10.371042641869364,0,0
2022-11-24 09:50:42.325013,30.36314290582667,999.1025716085013,10.292019703879975,0,0
2022-11-24 09:51:15.115919,30.493706584133978,999.1136065993046,10.36422292976568,0,0
2022-11-24 09:51:53.161206,30.49649190539714,999.0909402835733,10.273088628691404,0,0
2022-11-24 09:52:26.017354,30.322409440065584,999.1103847471309,10.275408443386613,0,0
2022-11-24 09:52:58.814893,30.347013081153367,999.0913707553607,10.26859031843452,0,0
2022-11-24 09:53:31.677788,30.49939522447211,999.0922773750041,10.29428113148053,0,0
2022-11-24 09:54:04.538736,29.46464167201872,999.0795508543415,10.33615066181222,0,0
2022-11-24 09:54:37.332449,30.116760318555567,999.0826475219462,10.318969029014324,0,0
2022-11-24 09:55:10.188074,29.91795619243958,999.0662066545029,10.346583278365005,0,0
2022-11-24 09:55:43.058234,29.916563535643217,999.0629415514512,10.420547902272316,0,0
2022-11-24 09:56:15.852129,30.23699306152837,999.0909816653523,10.438532599737947,0,0
2022-11-24 09:56:48.715062,30.174323471330627,999.064235216493,10.390232990630327,0,0
2022-11-24 09:57:21.578460,29.857143526099875,999.0672669092183,10.548313354730826,0,0
2022-11-24 09:57:54.370135,30.081943907760632,999.0233387662794,10.610455899136706,0,0
2022-11-24 09:58:30.669085,30.144613453842197,999.0912954866919,10.590554307774768,0,0
2022-11-24 09:59:03.533110,30.36337899316071,999.0698402498125,10.436965044457365,0,0
2022-11-24 09:59:36.388273,30.198927084654695,999.1190585739398,10.40616196143394,0,0
2022-11-24 10:00:09.190344,30.426977008683284,999.0890371193188,10.39994545895094,0,0
2022-11-24 10:00:42.052298,30.179548406266022,999.1246654185256,10.41695033063867,0,0
2022-11-24 10:01:14.916863,30.19022542825886,999.0987742958698,10.405095586671335,0,0
2022-11-24 10:01:47.710119,29.93757195623066,999.0842598227603,10.435166504339211,0,0
2022-11-24 10:02:20.571756,30.10585671604774,999.0800491588781,10.623345501341001,0,0
2022-11-24 10:02:53.434591,30.082062593462954,999.0763384570173,10.552097751608521,0,0
2022-11-24 10:03:26.228265,29.806662478321506,999.09659206437,10.657047411674402,0,0
2022-11-24 10:03:59.080174,29.42309974120591,999.0892068854623,10.761180160284402,0,0
2022-11-24 10:04:31.942646,29.719389565598625,999.147122025293,10.785976001617163,0,0
2022-11-24 10:05:04.740844,30.043996724313875,999.0820651560965,10.616328788115695,0,0
2022-11-24 10:05:37.601251,29.74677839898057,999.0986425393801,10.540461332224123,0,0
2022-11-24 10:06:10.463912,29.97935160432944,999.0981022542051,10.399157433617683,0,0
2022-11-24 10:06:43.256493,29.935715083290546,999.1405545666812,10.435251353603174,0,0
2022-11-24 10:07:16.119147,29.663100244826428,999.1501805944122,10.375310728908492,0,0
2022-11-24 10:07:48.983381,29.951962722407387,999.1534725035372,10.377678106158475,0,0
2022-11-24 10:08:21.771817,29.596598310716885,999.1795987262042,10.351392864955656,0,0
2022-11-24 10:08:54.637670,29.874319619843952,999.1979515154258,10.32584642944024,0,0
2022-11-24 10:09:27.499628,30.343881797494497,999.2249955118139,10.250261549280978,0,0
2022-11-24 10:10:00.292449,30.26264351339877,999.265131591916,10.322206851875848,0,0
2022-11-24 10:10:33.150043,29.842407251882186,999.2633478302854,10.456560402332737,0,0
2022-11-24 10:11:06.020396,29.322245426498753,999.190309281044,10.568486750030194,0,0
2022-11-24 10:11:38.808833,30.01382256758982,999.2235636253514,10.475660788344259,0,0
2022-11-24 10:12:11.682689,29.89857763000591,999.2159724949271,10.488090952949701,0,0
2022-11-24 10:12:44.547285,29.789022204048475,999.23314825817,10.703297029498044,0,0
2022-11-24 10:13:17.342483,30.40852674618204,999.2433110266735,10.603919923528649,0,0
2022-11-24 10:13:50.207254,30.01010882570329,999.2743516084953,10.617867369175606,0,0
2022-11-24 10:14:23.071352,30.248371505236136,999.271159424567,10.57142402168414,0,0
2022-11-24 10:14:56.771092,29.477877380357153,999.2839798061968,10.62805699571479,0,0
2022-11-24 10:15:29.557540,29.406733055612822,999.2997245654898,10.519189320579601,0,0
2022-11-24 10:16:08.458802,29.704415656271088,999.281947598344,10.47570923762493,0,0
2022-11-24 10:16:42.163287,29.809912002788334,999.2821258822047,10.600085142817601,0,0
2022-11-24 10:17:15.020964,29.545308131122468,999.2709292211277,10.782472138613448,0,0
2022-11-24 10:17:47.879155,29.70743921527452,999.2894278946845,10.949594780518462,0,0
2022-11-24 10:18:20.679826,29.725888610290628,999.2710432697563,10.859528560009052,0,0
2022-11-24 10:18:53.544757,29.256326544855945,999.2456955033117,10.719174768915863,0,0
2022-11-24 10:19:26.408043,29.555401705353496,999.2518002692627,10.584770592907171,0,0
2022-11-24 10:19:59.199700,29.989683247205978,999.2430522763972,10.630156997775197,0,0
2022-11-24 10:20:32.061324,29.779737850120377,999.2554293420538,10.590093234662264,0,0
2022-11-24 10:21:04.921863,29.82291010146029,999.277704330313,10.548359400436645,0,0
2022-11-24 10:21:37.713367,29.934441357650947,999.2948704357138,10.59289836910902,0,0
2022-11-24 10:22:10.575037,29.838467822340203,999.3745283595574,10.669539809856062,0,0
2022-11-24 10:22:43.428868,29.950808228678135,999.3279608920842,10.68148921523069,0,0
2022-11-24 10:23:16.217599,29.46395085976124,999.3354124356837,10.67413157708571,0,0
